steps,binomial_price,trinomial_price,binomial_runtime_sec,trinomial_runtime_sec,absolute_price_gap
25,11.05656084095637,10.949387881959094,0.0002868749999986875,0.000653583999998375,0.10717295899727652
50,10.949387881959002,10.96944247151189,0.0006779589999990066,0.0013729580000010344,0.020054589552888302
75,11.011836388782045,10.976139003132964,0.0011959590000003573,0.0025642910000005514,0.035697385649081426
100,10.96944247151162,10.979489417796778,0.0019043750000005133,0.004071167000001097,0.010046946285157787
125,11.002915042382044,10.981500349217123,0.0027938750000000567,0.005956792000000988,0.02141469316492106
150,10.976139003132806,10.982841253425992,0.0038455839999986807,0.008370958000000428,0.006702250293185941
175,10.999094208802301,10.983799180516186,0.005095332999999869,0.010907333000000463,0.015295028286114842
200,10.979489417797742,10.984517701373148,0.006406791999999939,0.014165000000000205,0.005028283575406078
250,10.981500349216448,10.985523739152288,0.010159665999999845,0.021500582999999907,0.0040233899358401715
300,10.982841253425645,10.986194501284407,0.01401187500000134,0.02947187500000048,0.0033532478587616765
